dataset_name,column_name,data_type,allowed_values,missing_allowed,english_description,traditional_chinese_description
food_exposure.csv,reported_consumed,integer,0; 1,yes,Reported food consumption.,回報是否食用。
food_exposure.csv,serving_amount_category,category,none; low; medium; high,yes,Reported portion category.,回報食用份量類別。
food_exposure.csv,recall_confidence,category,low; medium; high,yes,Recall confidence.,回憶信心。
food_exposure.csv,serving_batch_id,string,batch code,no,Serving batch from menu records.,供餐紀錄中的批次代碼。
food_exposure.csv,response_source,category,none; interview; serving_record; both,no,Exposure information source.,暴露資料來源。
food_exposure.csv,missing_reason,category,blank; survey_nonresponse; item_skipped; unclear_memory,yes,Reason for missing exposure.,暴露資料缺失原因。
menu_by_site.csv,site_id,category,see values,no,site id,場地代碼
menu_by_site.csv,site_name_zh,string,see values,no,site name zh,場地繁體中文名稱
menu_by_site.csv,meal_session,category,see values,no,meal session,供餐席次
menu_by_site.csv,meal_set_id,category,see values,no,meal set id,餐套代碼
menu_by_site.csv,food_id,category,see values,no,food id,食物代碼
menu_by_site.csv,food_name_zh,string,see values,no,food name zh,食物繁體中文名稱
menu_by_site.csv,food_offered,integer,see values,no,food offered,是否供應
menu_by_site.csv,serving_batch_id,string,see values,no,serving batch id,供餐批次
menu_by_site.csv,scheduled_service_datetime,datetime,see values,no,scheduled service datetime,預定供餐時間
menu_by_site.csv,actual_service_datetime,datetime,see values,no,actual service datetime,實際供餐時間
lab_results.csv,sample_id,string,see field manual,no,sample id,檢體編號
lab_results.csv,source_type,category,see field manual,no,source type,檢體來源類型
lab_results.csv,person_id,string,see field manual,yes,person id,參與者外鍵
lab_results.csv,food_id,category,see field manual,yes,food id,食品外鍵
lab_results.csv,site_id,category,see field manual,no,site id,場地代碼
lab_results.csv,collection_datetime,datetime,see field manual,no,collection datetime,採檢時間
lab_results.csv,test_name,category,see field manual,no,test name,虛構檢驗名稱
lab_results.csv,target_name,category,see field manual,no,target name,檢驗標的
lab_results.csv,result,category,see field manual,no,result,檢驗結果
lab_results.csv,subtype,string,see field manual,yes,subtype,虛構分型
lab_results.csv,quantitative_value,number,see field manual,yes,quantitative value,定量結果
lab_results.csv,unit,string,see field manual,yes,unit,定量結果單位
environment_log.csv,log_id,string,see field manual,no,log id,環境紀錄編號
environment_log.csv,site_id,category,see field manual,no,site id,場地代碼
environment_log.csv,serving_batch_id,string,see field manual,no,serving batch id,食品批次
environment_log.csv,food_id,category,see field manual,no,food id,食物代碼
environment_log.csv,record_datetime,datetime,see field manual,no,record datetime,紀錄時間
environment_log.csv,measurement_type,category,see field manual,no,measurement type,測量類型
environment_log.csv,temperature_c,number,see field manual,yes,temperature c,攝氏溫度
environment_log.csv,holding_duration_minutes,integer,see field manual,no,holding duration minutes,候膳分鐘數
environment_log.csv,record_source,category,see field manual,no,record source,紀錄來源
environment_log.csv,record_quality,category,see field manual,no,record quality,紀錄品質
environment_log.csv,missing_reason,category,see field manual,yes,missing reason,缺失原因
initial_reports.csv,report_id,string,IR001 format,no,Synthetic initial report identifier.,初始通報編號，一列一份急報。
initial_reports.csv,report_time,datetime,ISO 8601,no,Time the report reached the reporting office.,疫報司收到該份急報的時間。
initial_reports.csv,person_id,string,P0001 format,yes,"Roster link, blank when the reporter did not attend the banquet.",可連回名冊的參與者編號；非與宴者留空。
initial_reports.csv,reported_site,category,zhaohua_hall; hengfang_court; chengyue_terrace,yes,Banquet site stated in the report.,通報中陳述的宴席場地；非與宴者留空。
initial_reports.csv,attended_banquet,binary,0; 1,no,Whether the reporter attended the banquet.,通報者是否參加千秋宴。
initial_reports.csv,vomiting,binary,0; 1,no,Vomiting reported at notification.,通報當下是否有嘔吐。
initial_reports.csv,diarrhea_24h,integer,>= 0,no,Loose stools in the 24 hours before notification.,通報前 24 小時的水便次數。
initial_reports.csv,note,string,free text,yes,Free-text note written by the reporting officer.,通報人員自由記述，不作為判定依據。
